run,itr,loss,acc_a,acc_v,acc_n,rec_a,rec_v,rec_n,log_src
kvrope112,120,9.375,19.4,52.9,38.0,15.1,27.7,27.3,kvmatch_18469031.out
kvrope112,130,10.625,20.2,53.1,37.8,15.4,26.8,28.9,kvmatch_18469031.out
kvrope112,140,9.875,19.9,53.5,37.9,14.6,26.7,27.3,kvmatch_18469031.out
kvrope112,150,13.0,20.2,54.3,38.1,15.2,28.3,27.1,kvmatch_18469031.out
kvrope112,160,11.0625,19.9,55.3,38.8,14.5,27.6,27.8,kvmatch_18469031.out
kvrope112,170,7.2812,21.1,55.3,39.5,14.5,26.7,29.1,kvmatch_18469031.out
kvrope112,180,19.25,21.5,55.0,39.8,14.3,28.6,29.1,kvmatch_18469031.out
kvrope112,190,12.375,20.7,55.0,39.3,13.4,29.0,28.8,kvmatch_18469031.out
kvrope112,200,12.0,20.4,55.7,38.3,12.6,29.0,27.0,kvmatch_18469031.out
kvrope112,210,10.875,20.1,55.2,37.4,11.9,26.4,26.2,kvmatch_18469031.out
kvrope112,220,16.5,19.2,54.8,36.9,11.5,25.0,25.7,kvmatch_18469031.out
kvrope112,230,13.6875,19.5,54.5,37.4,11.7,24.7,25.8,kvmatch_18469031.out
